Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
Igor Antropenko,✅,❌,❌,❌,❌,❌,O
Igor Arkadyevich ROTENBERG,❌,❌,❌,❌,✅,❌,O
Igor Evgenevich KAKIDZYANOV,❌,❌,✅,❌,❌,❌,O
Igor Igoshin,✅,❌,❌,❌,❌,❌,O
Igor Ivanovich SECHIN,✅,❌,❌,❌,❌,❌,O
Igor Kastyukevich,✅,❌,❌,❌,❌,❌,O
Igor Mykolaiovych BEZLER,✅,❌,❌,❌,❌,❌,O
Igor Olegovich SHCHEGOLEV,✅,❌,❌,❌,❌,❌,O
Igor PLOTNITSKY,✅,❌,❌,❌,❌,❌,O
Igor Rudensky,✅,❌,❌,❌,❌,❌,O
Igor Sergeievich SHEVCHENKO,❌,❌,❌,✅,✅,❌,O
Igor Shubin,❌,❌,❌,❌,✅,❌,O
Igor Vladimirovich KOSTENOK,✅,❌,❌,❌,❌,❌,O
Igor Vsevolodovich GIRKIN,❌,❌,❌,✅,❌,❌,O
Igor Yuriyovich ANTIPOV,❌,✅,❌,❌,❌,✅,O
Ildar Gilmutdinov,✅,❌,❌,❌,❌,❌,O
Ilya Volfson,✅,❌,❌,❌,❌,❌,O
Industrial Savings Bank (IS Bank),❌,✅,❌,✅,❌,❌,O
International Union of Public Associations ‘Great Don Army’,✅,❌,❌,❌,❌,❌,O
Invest Capital Bank,✅,❌,❌,❌,❌,❌,O
Irek Borissowitsch Boguslawski,❌,❌,❌,✅,❌,❌,O
Irina Aleksandrovna Pankina,✅,❌,❌,❌,❌,❌,O
Irina Belych,✅,❌,❌,❌,❌,❌,O
Irina Filatova,✅,❌,❌,❌,❌,❌,O
Irina Ivenskikh,✅,❌,❌,❌,❌,❌,O
Irina Rodnina,✅,❌,❌,❌,❌,❌,O
Ivan Babich,✅,❌,❌,❌,❌,❌,O
Ivan Demtschenko,✅,❌,❌,❌,❌,❌,O
Ivan Kvitka,❌,❌,❌,✅,❌,❌,O
Ivan Loor,✅,❌,❌,❌,❌,❌,O
Ivan Musatov,✅,❌,❌,❌,❌,❌,O
Ivan Sukharev,✅,❌,❌,❌,❌,❌,O
Jelena Bondarenko,✅,❌,❌,❌,❌,❌,O
Joint-stock company ‘Lenpromtransproyekt’,✅,❌,❌,✅,❌,❌,O
Joint-stock company ‘The Berkatit-Tommot-Yakutsk Railway Line’s Construction Directorate’,✅,❌,❌,❌,❌,❌,O
Kalmius Battalion,✅,❌,❌,❌,❌,❌,O
Kaplan Panesh,❌,❌,✅,❌,❌,❌,O
Kazbek Taysayev,✅,❌,❌,❌,❌,❌,O
Kerch Commercial Sea Port – State Enterprise,✅,❌,❌,❌,❌,✅,O
Kerch Ferry – State Ferry Enterprise,✅,❌,❌,❌,✅,❌,O
Khizri Abakarov,✅,❌,❌,❌,❌,❌,O
Kirill Nikolayevich SHAMALOV,✅,❌,❌,❌,❌,❌,O
Konstantin Fyodorovich ZATULIN,✅,❌,❌,❌,❌,❌,O
Konstantin Mikhailovich BAKHAREV,✅,❌,❌,❌,❌,❌,O
Konstantin Valerevich MALOFEEV,✅,❌,❌,❌,❌,❌,O
Konstantin Zakharov,✅,❌,❌,❌,❌,❌,O
Kronshtadt,✅,✅,❌,✅,✅,❌,O
Larisa Leonidovna AIRAPETYAN,✅,❌,❌,❌,❌,❌,O
Larisa Tutova,❌,❌,❌,✅,✅,❌,O
Leonid Babashov,✅,❌,❌,❌,✅,❌,O
Leonid Eduardovich SLUTSKIY,❌,✅,✅,✅,❌,✅,O
Leonid Ivanovich Pasechnik,✅,✅,❌,❌,❌,❌,O
Leonid Ivlev,✅,❌,❌,❌,❌,❌,O
Leonid Jakovlevitch Simanovskiy,✅,❌,❌,❌,❌,❌,O
Leonid Ogul,✅,❌,❌,❌,❌,❌,O
Lesya Mikhailovna LAPTEVA,✅,❌,❌,❌,❌,❌,O
Lidia Aleksandrovna Basova,✅,❌,❌,❌,❌,❌,O
Lt. Gen. Igor Nikolaevich TURCHENYUK,✅,❌,❌,❌,❌,❌,O
Luganskiy Ekonomicheskiy Soyuz,✅,❌,❌,❌,❌,❌,O
Luhansk Guard,✅,❌,❌,❌,❌,❌,O
Magarach of the National Institute of Wine – State Enterprise,✅,❌,❌,❌,❌,❌,O
Maksim Ivanov,✅,❌,❌,❌,❌,❌,O
Marat Faatovich BASHIROV,✅,❌,❌,❌,❌,❌,O
Maria Drobot,✅,❌,❌,❌,❌,❌,O
Maria Prusakova,✅,❌,❌,❌,❌,❌,O
Maria Valerjevna Butina,✅,❌,❌,❌,❌,❌,O
Maria Vasilkova,✅,❌,❌,❌,❌,❌,O
Maxim Ivanov,✅,❌,❌,❌,❌,❌,O
Michail Vasilevich Tarasenko,✅,❌,❌,❌,❌,❌,O
Mikhail Avdeyev,✅,❌,❌,❌,❌,❌,O
Mikhail Delyagin,✅,❌,❌,❌,❌,❌,O
Mikhail Grigorevich MALYSHEV,✅,❌,❌,❌,❌,❌,O
Mikhail Kislyakov,✅,❌,❌,❌,❌,❌,O
Mikhail Kizeev,✅,❌,❌,❌,❌,❌,O
Mikhail Kuzmin,✅,❌,❌,❌,❌,❌,O
Mikhail Matveyev,❌,✅,❌,❌,✅,❌,O
Mikhail Romanov,✅,❌,❌,❌,❌,❌,O
Mikhail Sergeyevich SHEREMET,❌,❌,❌,❌,❌,✅,O
Mikhail Shchapov,❌,❌,❌,❌,❌,✅,O
Mikhail Starshinov,❌,❌,❌,❌,❌,✅,O
Mikhail Terentyev,❌,✅,✅,✅,✅,❌,O
Mikhail Vladimirovich DEGTYAREV,❌,❌,❌,✅,❌,❌,O
Mikhail Vladimirovich Razvozhaev,✅,✅,❌,❌,❌,❌,O
Mikhail Yefimovich FRADKOV,❌,❌,❌,✅,❌,❌,O
Mir Luganshchine,✅,✅,✅,✅,✅,❌,O
Miroslav Vladimirovich RUDENKO,✅,❌,❌,❌,✅,❌,O
Murad Gadzhiyev,❌,❌,✅,❌,❌,❌,O
Murat Khasanov,✅,✅,❌,✅,✅,✅,O
Muslim Barisovich Tatriev,✅,❌,❌,❌,❌,❌,O
Nadezhda Shkolkina,✅,❌,❌,❌,❌,❌,O
Narodniy Soyuz (People's Union),❌,❌,❌,✅,❌,❌,O
Natalia Vladimirovna POKLONSKAYA,✅,❌,❌,❌,❌,❌,O
Nataliya Poluyanova,❌,❌,❌,✅,✅,❌,O
Natalya Kostenko,✅,❌,❌,❌,❌,❌,O
Natalya Nazarova,✅,❌,❌,❌,❌,❌,O
Natalya Orlova,✅,❌,❌,❌,❌,❌,O
Natalya Yurevna NIKONOROVA,❌,✅,✅,✅,✅,✅,O
National Association of Producers “Massandra” – State Concern,❌,❌,❌,✅,❌,❌,O
Nikita Yurevich Chaplin,✅,❌,❌,❌,✅,❌,O
Nikolai Brykin,✅,❌,❌,❌,❌,❌,O
Nikolai Buduyev,✅,✅,✅,✅,✅,✅,O
Nikolai Burlyayev,❌,❌,❌,✅,✅,❌,O
Nikolai Ivanovich RYZHKOV,✅,❌,❌,❌,❌,❌,O
Nikolai Kolomeytsev,✅,❌,❌,❌,❌,❌,O
Nikolai Platonovich PATRUSHEV,✅,❌,❌,❌,❌,❌,O
Nikolai Shcheglov,✅,❌,❌,❌,❌,❌,O
Nikolai Valueev,✅,❌,❌,❌,❌,❌,O
Nikolay Aleksandrovich PANKOV,✅,❌,❌,❌,❌,❌,O
Nikolay Alexeyenko,✅,✅,✅,✅,✅,✅,O
Nikolay Arefyev,❌,✅,❌,❌,❌,❌,O
Nikolay Bortsov,✅,✅,❌,✅,✅,❌,O
Nikolay Doluda,✅,❌,❌,❌,❌,❌,O
Nikolay Goncharov,✅,❌,❌,❌,❌,❌,O
Nikolay Grigorevich Tsed,✅,❌,❌,❌,❌,❌,O
Nikolay Ivanov,✅,❌,❌,❌,❌,❌,O
Nikolay Ivanovich KOZITSYN,✅,❌,❌,❌,❌,❌,O
Nikolay Kharitonov,✅,❌,❌,❌,❌,❌,O
Nikolay Nikolaev,❌,✅,❌,❌,❌,❌,O
Nikolay Osadchy,✅,❌,❌,❌,❌,❌,O
Nikolay Pankov,✅,❌,❌,❌,❌,❌,O
Nikolay Petrunin,✅,❌,❌,❌,❌,❌,O
Nikolay Terentievich SHAMALOV,✅,❌,❌,❌,❌,❌,O
Nikolay Vasilyev,❌,❌,❌,✅,❌,❌,O
Nikolay Yezersky,✅,❌,❌,❌,❌,❌,O
Nina Ostanina,✅,❌,❌,❌,❌,❌,O
Nurbagand Nurbagandov,❌,❌,❌,✅,❌,❌,O
Oksana Aleksandrovna TCHIGRINA,❌,❌,✅,✅,❌,❌,O
Oksana Fadina,❌,❌,❌,❌,❌,✅,O
Oleg Anatolievich KAMSHILOV,❌,❌,✅,✅,❌,❌,O
Oleg Dimov,❌,❌,✅,❌,❌,❌,O
Oleg Evgenevich BUGROV,❌,❌,❌,❌,✅,❌,O
Oleg Garin,❌,❌,❌,✅,❌,❌,O
Oleg Genrikhovich SAVELYEV,✅,❌,❌,❌,❌,❌,O
Oleg Golikov,✅,✅,❌,✅,❌,❌,O
Oleg Grigorievich KOZYURA,❌,❌,❌,❌,✅,❌,O
Oleg Ivaninskiy,❌,❌,❌,✅,✅,❌,O
Oleg Kolesnikov,✅,❌,❌,❌,❌,❌,O
Oleg Lebedev,❌,❌,❌,❌,✅,❌,O
Oleg Nilov,✅,❌,❌,❌,❌,❌,O
Oleg Savchenko,✅,❌,❌,❌,❌,❌,O
Oleg Smolin,❌,❌,❌,✅,❌,❌,O
Oleg TSARIOV,✅,❌,✅,❌,✅,✅,O
Oleg Valenchuk,✅,❌,❌,❌,❌,❌,O
Oleg Vladimirovich BEREZA,✅,❌,❌,❌,❌,❌,O
Oleg Yevgenyvich BELAVANTSEV,✅,❌,❌,❌,❌,❌,O
Oleh Anatoliiovych VASIN,❌,❌,✅,❌,❌,❌,O
Oleksii Mykhailovych Saliaiev,✅,❌,❌,❌,❌,❌,O
Oleksii Volodymyrovych Shatokhin,✅,❌,❌,❌,❌,❌,O
Olga Amelchenkova,❌,❌,❌,✅,❌,❌,O
Olga Anufriyeva,❌,❌,❌,❌,✅,❌,O
Olga Fedorovna KOVITIDI,✅,❌,❌,❌,❌,❌,O
Olga Germanova,❌,❌,❌,✅,✅,❌,O
Olga Igoreva BESEDINA,❌,✅,❌,✅,❌,❌,O
Olga Korobova,✅,❌,❌,❌,❌,❌,O
Olga Pilipenko,✅,❌,❌,❌,❌,❌,O
Oplot Batallion,✅,❌,❌,❌,❌,❌,O
Pavel Anatolevich POPOV,✅,❌,❌,❌,❌,✅,O
Pavel Fedyaev,❌,❌,❌,❌,✅,❌,O
Pavel Kachkaev,❌,❌,❌,✅,❌,❌,O
Pavel Valentinovich SHPEROV,❌,❌,❌,✅,❌,✅,O
Pavel Vladimirovich Simigin,✅,❌,❌,❌,❌,❌,O
Pavel Yurevich GUBAREV,❌,✅,❌,❌,❌,❌,O
People’s Militia of the Luhansk People’s Republic,✅,❌,❌,✅,✅,✅,O
People’s Republic of Donetsk,❌,❌,❌,✅,✅,❌,O
People’s Republic of Luhansk,❌,❌,❌,❌,✅,❌,O
Petr Alekseyovich SAVCHENKO,✅,❌,❌,❌,❌,❌,O
Petr Grigorievich JAROSH,✅,❌,❌,❌,❌,❌,O
Petr Mikhailovich FRADKOV,✅,❌,❌,❌,❌,❌,O
Petr Revoldovich Ammosov,✅,❌,❌,❌,❌,❌,O
Prizrak Brigade,❌,❌,❌,✅,❌,❌,O
Promsvyazbank,❌,❌,❌,❌,✅,❌,O
Public Movement ‘Novorossiya’,❌,✅,❌,❌,✅,❌,O
Pyotr Anatoliyovych ZIMA,✅,❌,❌,❌,❌,❌,O
Pyotr Olegovich Tolstoy,✅,❌,❌,❌,❌,❌,O
Rafael Mardanshin,❌,✅,❌,❌,✅,❌,O
Rahim Asimov,❌,❌,✅,✅,❌,❌,O
Ramzan Akhmadovitch KADYROV,✅,✅,❌,❌,✅,✅,O
Rashid Gumorovich NURGALIEV,✅,❌,❌,❌,❌,❌,O
Ravil Zakarievich KHALIKOV,❌,❌,❌,✅,✅,❌,O
Renat Suleymanov,✅,❌,❌,❌,❌,❌,O
Resort ‘Nizhnyaya Oreanda’,❌,❌,❌,✅,❌,❌,O
Rima Akberdinowna Batalova,❌,❌,❌,✅,❌,❌,O
Rimma Amirovna Utyasheva,❌,✅,❌,❌,❌,❌,O
Rinat Ayupov,✅,❌,❌,❌,❌,❌,O
Roman Lyabikhov,❌,❌,❌,❌,❌,✅,O
Roman Lyubarskiy,❌,❌,❌,✅,❌,❌,O
Roman Ptitsyn,✅,❌,❌,❌,❌,❌,O
Roman Romanenko,✅,❌,❌,❌,✅,❌,O
Roman Teryushkov,✅,❌,❌,❌,❌,❌,O
Roman Viktorovich LYAGIN,✅,❌,❌,❌,❌,❌,O
Roman Vodyanov,✅,❌,❌,❌,❌,❌,O
Rosoboronexport,✅,❌,❌,❌,❌,❌,O
Rostec,✅,❌,❌,❌,❌,❌,O
Ruslan Abdulvakhievich Lechkhadzhiev,✅,❌,❌,❌,❌,❌,O
Ruslan Gadzhiyev,✅,❌,❌,❌,❌,❌,O
Ruslan Ismailovich BALBEK,✅,❌,❌,❌,❌,❌,O
Ruslan Khadzhismelovich TSALIKOV,✅,❌,❌,❌,❌,❌,O
Ruslan Romashkin,✅,❌,❌,❌,❌,❌,O
Ruslan Yunirovish ILKAEV,❌,❌,❌,✅,❌,❌,O
Russian National Commercial Bank,❌,❌,❌,✅,❌,❌,O
Rustam Ilmirovich TEMIRGALIEV,❌,❌,❌,❌,✅,❌,O
Rustam Kalimullin,❌,❌,❌,✅,❌,❌,O
Rustam Usmanovich MURADOV,❌,❌,❌,✅,❌,❌,O
SMP Bank,✅,❌,❌,❌,❌,❌,O
SOBOL,✅,❌,❌,❌,❌,❌,O
Sergei Andreevich Danilenko,✅,❌,❌,❌,❌,❌,O
Sergei Borisovich IVANOV,❌,❌,❌,✅,❌,❌,O
Sergei Ivanovich MENYAILO,✅,❌,❌,❌,❌,❌,O
Sergei Ivanovich NEVEROV,❌,❌,❌,❌,✅,✅,O
Sergei Kabyshev,❌,❌,❌,✅,❌,❌,O
Sergei Karginov,❌,❌,❌,✅,❌,❌,O
Sergei Kazankov,✅,❌,❌,❌,❌,❌,O
Sergei Leonov,✅,❌,❌,❌,❌,❌,O
Sergei Lissovski,✅,❌,❌,❌,❌,❌,O
Sergei Mikhailovich MIRONOV,✅,❌,❌,❌,❌,❌,O
Sergei Obukhov,✅,❌,❌,❌,❌,❌,O
Sergei Tchepikov,❌,❌,❌,✅,❌,❌,O
Sergei Vladimirovich ZHELEZNYAK,❌,❌,❌,✅,❌,❌,O
Sergey Aleksandrovich KISEL,❌,❌,✅,❌,❌,❌,O
Sergey Altukhov,❌,❌,❌,❌,✅,❌,O
Sergey Anatolevich Solovev,✅,❌,❌,❌,❌,❌,O
Sergey Bidonko,✅,❌,❌,❌,❌,❌,O
Sergey Borisovich RYZHKOV,✅,❌,❌,❌,❌,❌,O
Sergey Boyarskiy,✅,❌,❌,❌,❌,❌,O
Sergey Burlakov,✅,❌,❌,❌,❌,❌,O
Sergey Chizhov,❌,❌,❌,❌,✅,❌,O
Sergey Gavrilov,❌,❌,❌,❌,❌,✅,O
Sergey Gennadevich TSYPLAKOV,✅,✅,❌,❌,✅,✅,O
Sergey Ivanovich KOZLOV,✅,❌,❌,❌,❌,❌,O
Sergey Kolunov,✅,❌,❌,❌,❌,❌,O
Sergey Kotkin,❌,❌,✅,✅,❌,❌,O
Sergey Krivonosov,✅,❌,❌,❌,❌,❌,O
Sergey Levchenko,❌,✅,❌,❌,✅,✅,O
Sergey Morozov,❌,✅,✅,✅,❌,❌,O
Sergey Nikolayevich Stankevich,❌,❌,❌,✅,❌,❌,O
Sergey Orestovich BESEDA,❌,❌,❌,✅,❌,❌,O
Sergey Panteleyev,❌,❌,✅,✅,❌,❌,O
Sergey Pavlovych TSEKOV,✅,❌,❌,❌,❌,❌,O
Sergey Petrov,✅,❌,❌,❌,❌,❌,O
Sergey Shargunov,❌,✅,✅,✅,✅,✅,O
Sergey Sokol,✅,❌,❌,❌,❌,❌,O
Sergey Ten,✅,❌,❌,❌,❌,❌,O
Sergey Vadimovich ABISOV,✅,❌,❌,❌,❌,❌,O
Sergey Veremeenko,✅,❌,❌,❌,❌,❌,O
Sergey Yakhnyuk,✅,❌,❌,❌,❌,❌,O
Sergey Yevgenyevich NARYSHKIN,✅,❌,❌,❌,❌,❌,O
Sergey Yurevich IGNATOV,✅,❌,❌,❌,❌,❌,O
Sergey Yurevich KUZOVLEV,✅,❌,❌,❌,❌,❌,O
Sergey Yurievich KOZYAKOV,✅,❌,❌,❌,❌,❌,O
Sergey Yur’yevich GLAZYEV,❌,✅,❌,✅,✅,❌,O
Serhii Anatoliyovych ZDRILIUK,✅,❌,❌,❌,❌,❌,O
Serhii Shcherbakov,✅,❌,❌,❌,❌,❌,O
Serhiy Valeriyovich AKSYONOV,✅,❌,❌,❌,❌,❌,O
Sevastopol Commercial Seaport,✅,❌,❌,❌,❌,❌,O
Shamsail Saraliyev,✅,❌,❌,❌,❌,❌,O
Smert (Death) Battalion,✅,❌,❌,❌,❌,❌,O
Somali Battalion,❌,❌,❌,✅,❌,❌,O
Sparta Battalion,❌,✅,✅,✅,✅,✅,O
Stanislav Naumov,✅,❌,❌,❌,❌,❌,O
Stroygazmontazh,✅,❌,❌,❌,❌,❌,O
Stroytransgaz Group,✅,❌,❌,❌,❌,❌,O
Sultan Khamzaev,❌,✅,❌,❌,❌,✅,O
Svetlana Bessarab,✅,❌,❌,❌,❌,❌,O
Svetlana Borisovna SAVCHENKO,✅,❌,❌,❌,❌,❌,O
Svetlana Zhurova,❌,✅,❌,❌,❌,❌,O
Svobodniy Donbass,✅,❌,❌,❌,❌,❌,O
Tactical Missiles Corporation,❌,❌,✅,❌,❌,❌,O
Tamara Frolova,❌,❌,✅,❌,❌,❌,O
Tatiana Butskaya,✅,❌,❌,❌,✅,❌,O
Tatiana SHEVTSOVA,✅,❌,❌,❌,✅,❌,O
Tatyana Dyakonova,✅,❌,❌,❌,❌,❌,O
Tatyana Kusayko,✅,❌,❌,❌,❌,❌,O
Tatyana Lobach,✅,❌,❌,❌,❌,❌,O
The Volga Group,✅,❌,❌,❌,✅,❌,O
Timofey Bazhenov,❌,❌,❌,✅,❌,❌,O
Timur Kanokov,✅,❌,❌,❌,❌,❌,O
Timur Vadimovich IVANOV,❌,❌,❌,✅,❌,❌,O
Transoil,✅,❌,❌,❌,❌,❌,O
Universal-Avia – State Enterprise,❌,❌,❌,✅,❌,❌,O
Vadim Belousov,❌,❌,❌,✅,❌,❌,O
Vadim Bulavinov,✅,❌,❌,❌,❌,❌,O
Vadim Kumin,✅,❌,❌,❌,❌,❌,O
Vadim Shuvalov,❌,✅,✅,✅,❌,❌,O
Valentina Artamonova,❌,✅,❌,✅,❌,❌,O
Valentina Ivanovna MATVIYENKO,❌,✅,❌,❌,❌,❌,O
Valentina Pivnenko,❌,❌,❌,✅,❌,❌,O
Valerii Kostiantynovych MUSIIENKO,❌,✅,❌,❌,❌,❌,O
Valeriy Skrug,✅,❌,❌,❌,❌,❌,O
Valery Gartung,✅,❌,❌,❌,❌,❌,O
Valery Seleznyov,✅,✅,❌,❌,✅,✅,O
Valery Vasilevich GERASIMOV,❌,❌,❌,✅,❌,❌,O
Valery Vladimirovich KAUROV,❌,❌,✅,❌,✅,❌,O
Valery Vladimirovich KULIKOV,❌,✅,❌,✅,✅,❌,O
Vasily Vlasov,✅,❌,❌,❌,✅,✅,O
Vasyl Oleksandrovych NIKITIN,✅,❌,❌,❌,✅,❌,O
Viacheslav Anatoliiovych APRAKSIMOV,✅,❌,❌,❌,✅,❌,O
Victor Petrovich IVANOV,✅,❌,❌,❌,✅,❌,O
Victor Yuriiovych ANOSOV,✅,❌,❌,❌,✅,❌,O
Victoria Rodina,✅,❌,❌,❌,❌,❌,O
Viktor Alekseevic OZEROV,✅,❌,❌,❌,❌,❌,O
Viktor Deryabkin,✅,❌,❌,❌,❌,❌,O
Viktor Dsjuba,✅,❌,❌,❌,❌,❌,O
Viktor Fedorovych YANUKOVYCH,❌,❌,❌,✅,✅,❌,O
Viktor Ignatov,❌,❌,❌,✅,✅,❌,O
Viktor Kazakov,✅,❌,❌,❌,❌,❌,O
Viktor Kidyaev,✅,❌,❌,❌,❌,❌,O
Viktor Seliverstov,✅,❌,❌,❌,❌,❌,O
Viktor Sobolev,✅,❌,❌,❌,❌,❌,O
Viktor Subarev,✅,❌,❌,❌,❌,❌,O
Viktor Vasilyevich ZOLOTOV,❌,❌,❌,❌,❌,✅,O
Viktor Vladimirovich Smirnov,✅,❌,❌,❌,❌,❌,O
Viktor Volodymyrovich MEDVEDCHUK,✅,❌,❌,❌,❌,❌,O
Viktor Vyacheslavovich YATSENKO,✅,❌,❌,❌,❌,❌,O
Vitali Jefimow,❌,❌,❌,❌,✅,✅,O
Vitali Lichachow,✅,✅,❌,✅,❌,❌,O
Vitaliy Kushnarev,✅,❌,❌,❌,❌,❌,O
Vitaly Bakhmetyev,✅,❌,❌,❌,❌,❌,O
Vitaly Milonov,❌,❌,❌,❌,✅,❌,O
Vladimir Anatolievich SHAMANOV,✅,❌,❌,❌,❌,❌,O
Vladimir ANTYUFEYEV,✅,❌,❌,❌,❌,❌,O
Vladimir Anatolievich Bidyovka,✅,❌,❌,❌,❌,❌,O
Vladimir Blotsky,✅,❌,❌,❌,❌,❌,O
Vladimir Borisovich Senin,✅,❌,❌,❌,❌,❌,O
Vladimir Burmatov,✅,❌,❌,❌,✅,❌,O
Vladimir Igorevich KOZHIN,✅,✅,❌,❌,❌,❌,O
Vladimir Igorevich Samokish,❌,❌,❌,❌,✅,❌,O
Vladimir Ilynikh,✅,❌,❌,❌,❌,❌,O
Vladimir Isakov,❌,❌,❌,❌,❌,✅,O
Vladimir Ivanov,✅,❌,❌,❌,❌,❌,O
Vladimir Ivanovich YAKUNIN,❌,❌,❌,✅,❌,❌,O
Vladimir Kashin,✅,❌,❌,❌,❌,❌,O
Vladimir Kononov,✅,❌,❌,❌,❌,❌,O
Vladimir Koshelev,✅,❌,❌,❌,❌,❌,O
Vladimir Michailovich DZHABAROV,✅,❌,❌,❌,❌,❌,O
Vladimir Nikolaevich PLIGIN,❌,❌,❌,❌,✅,❌,O
Vladimir Petrovich KONONOV,❌,❌,❌,✅,✅,❌,O
Vladimir Plotnikov,✅,❌,❌,❌,❌,❌,O
Vladimir Resin,✅,❌,❌,❌,❌,❌,O
Vladimir Sergeevich KIRIYENKO,✅,❌,❌,❌,❌,❌,O
Vladimir Sipyagin,✅,❌,❌,❌,❌,❌,O
Vladimir Vasilyevich USTINOV,✅,❌,❌,❌,❌,❌,O
Vladimir Vladimirovich Nemtsev,✅,❌,❌,❌,❌,❌,O
Vladimir Vladimirovich YAKUSHEV,✅,❌,❌,❌,❌,❌,O
Vladimir Volfovich ZHIRINOVSKY,✅,❌,❌,❌,❌,❌,O
Vladislav Nykolayevich DEYNEGO,✅,❌,❌,❌,❌,❌,O
Vladislav Reznik,✅,❌,❌,❌,❌,❌,O
Vladislav Yur’yevich SURKOV,✅,❌,❌,❌,❌,❌,O
Volodomyr Andriyovych KONSTANTYNOV,✅,❌,❌,❌,❌,❌,O
Vostok Battalion,✅,❌,❌,❌,❌,❌,O
Vyacheslav Fetisov,✅,❌,❌,❌,❌,❌,O
Vyacheslav Loginov,✅,❌,❌,❌,❌,❌,O
Vyacheslav Markhayev,✅,❌,❌,❌,❌,❌,O
Vyacheslav Nikonov,✅,❌,❌,❌,❌,❌,O
Vyacheslav Petrov,✅,❌,❌,❌,❌,❌,O
Vyacheslav Vasilevich Fomichev,✅,❌,❌,❌,❌,❌,O
Vyacheslav Viktorovich VOLODIN,✅,❌,❌,❌,❌,❌,O
Vyacheslav Vladimirovich PONOMARYOV,✅,❌,❌,❌,❌,❌,O
Vyatscheslav Makarov,❌,❌,❌,✅,✅,❌,O
Yakov Vladimirovich REZANTSEV,❌,✅,❌,❌,❌,❌,O
Yana Lantratova,❌,❌,❌,✅,❌,❌,O
Yaroslav Nilov,❌,❌,❌,✅,❌,❌,O
Yelena Borisovna MIZULINA,❌,❌,❌,✅,✅,❌,O
Yelena Yevtyukhova,✅,❌,❌,❌,✅,❌,O
Yevgeniy Lebedev,✅,❌,❌,❌,❌,❌,O
Yevgeny Bessonov,✅,❌,❌,❌,❌,❌,O
Yevgeny Fyodorov,✅,❌,❌,❌,❌,❌,O
Yevgeny Markov,❌,❌,❌,✅,✅,❌,O
Yevgeny Popov,✅,❌,❌,❌,❌,❌,O
Yevgeny Viktorovich PRIGOZHIN,❌,❌,❌,✅,✅,❌,O
Yuliya Nikolaevna Drozhzhina,✅,❌,❌,✅,✅,❌,O
Yuliya Ogloblina,❌,❌,❌,✅,❌,❌,O
Yuliya Vladimirovna Saranova,❌,❌,❌,✅,❌,❌,O
Yunus-Bek Bamatgireyevich EVKUROV,❌,❌,❌,✅,❌,❌,O
Yuri Grigoryevich,❌,❌,❌,✅,❌,❌,O
Yuri Napso,❌,❌,❌,✅,❌,❌,O
Yuri Shvytkin,❌,❌,❌,✅,❌,❌,O
Yuri Valentinovich KOVALCHUK,❌,❌,❌,✅,❌,❌,O
Yuri Viktorovich SIVOKONENKO,❌,❌,❌,✅,❌,❌,O
Yurii Oleksandrovych PROTSENKO,❌,❌,❌,✅,❌,❌,O
Yurij IVAKIN,✅,❌,❌,❌,❌,❌,O
Yuriy Eduardovich SADOVENKO,❌,❌,❌,❌,✅,✅,O
Yuriy Mikhailovich Gotsanyuk,❌,✅,❌,❌,✅,❌,O
Yury Borisovich SLYUSAR,❌,❌,❌,✅,❌,❌,O
Yury Petrov,✅,❌,❌,❌,❌,❌,O
Yury Sinelshchikov,❌,❌,❌,✅,❌,❌,O
Yury Vyacheslavovich Afonin,✅,❌,❌,✅,❌,❌,O
Yury Yakovlevich CHAIKA,✅,❌,❌,❌,❌,❌,O
Zarif Baiguskarov,✅,❌,❌,❌,✅,❌,O
Zarya Battalion,✅,❌,❌,❌,❌,❌,O
Zaur Gekkiev,✅,❌,❌,❌,❌,❌,O
Zaur Raufovich ISMAILOV,✅,❌,❌,❌,❌,❌,O
Zhanna Ryabtseva,✅,❌,❌,❌,❌,❌,O
Zurab Makiyev,❌,❌,❌,✅,❌,❌,O
Augustine CHIHURI,✅,❌,❌,❌,❌,❌,O
Constantine CHIWENGA,❌,❌,❌,✅,❌,❌,O
Grace MUGABE,✅,❌,❌,❌,❌,❌,O
Happyton BONYONGWE,✅,❌,❌,❌,❌,❌,O
Phillip Valentine SIBANDA,✅,❌,❌,❌,❌,❌,O
Zimbabwe Defence Industries Ltd,❌,✅,✅,✅,✅,✅,O
Ahmed Ag Albachar,✅,❌,❌,❌,❌,❌,O
Ahmoudou Ag Asriw,✅,❌,❌,❌,❌,❌,O
Houka Houka Ag Alhousseini,✅,✅,❌,❌,❌,❌,O
Mahamadou Ag Rhissa,❌,❌,❌,❌,✅,❌,O
Mahri Sidi Amar Ben Daha,❌,❌,❌,✅,❌,✅,O
Mohamed Ben Ahmed Mahri,✅,❌,❌,❌,❌,❌,O
Mohamed Ould Mataly,❌,✅,❌,❌,❌,❌,O
Mohamed Ousmane Ag Mohamedoune,✅,❌,❌,❌,❌,❌,O
Abbasov Rasi Yaşar oğlu,✅,❌,❌,❌,❌,❌,O
Abdullayev Taleh Səbuhi oğlu,✅,❌,❌,❌,❌,❌,O
Abdullayev Varis İskəndər oğlu,✅,❌,❌,❌,❌,❌,O
Abdullayev Zərbalı İsgəndər oğlu,✅,❌,❌,❌,❌,❌,O
